category_id,category_path,listing_count,upc_support,ean_support,isbn_support
181407,"Sporting Goods|Camping & Hiking|Water Bottles & Hydration|Portable Water Filters",1,ENABLED,DISABLED,DISABLED
134765,"Crafts|Beads & Jewelry Making|Beading & Jewelry Making Tools|Jewelry Pliers & Shears",1,REQUIRED,DISABLED,DISABLED
258334,"Business & Industrial|CNC, Metalworking & Manufacturing|Woodworking Supplies|Carving Tools & Chisels|Chisels",1,ENABLED,DISABLED,DISABLED
67678,"Health & Beauty|Vision Care|Low Vision Magnifiers",1,ENABLED,DISABLED,DISABLED
79619,"Home & Garden|Kids & Teens at Home|Bedding|Sheets",1,ENABLED,DISABLED,DISABLED
102950,"Home & Garden|School Supplies|Notebooks & Binders",1,REQUIRED,DISABLED,DISABLED
160677,"Crafts|Home Arts & Crafts|Woodworking|Wood Carving Hand Tools",1,ENABLED,DISABLED,DISABLED
183936,"Business & Industrial|Fasteners & Hardware|Fastening Pins|Hairpin & Straight Cotter Pins",1,ENABLED,DISABLED,DISABLED
11737,"Toys & Hobbies|Educational|Science & Nature|Other Science & Nature Toys",1,ENABLED,DISABLED,DISABLED
260330,"Jewelry & Watches|Watches, Parts & Accessories|Watch Accessories|Boxes & Cases",1,ENABLED,DISABLED,DISABLED
177895,"Sporting Goods|Tactical & Duty Gear|Tactical Patches",1,ENABLED,DISABLED,DISABLED
85915,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Power Equipment|Chainsaw Parts",1,ENABLED,DISABLED,DISABLED
183187,"Crafts|Multi-Purpose Craft Supplies|Organization & Storage|Other Craft Storage",1,REQUIRED,DISABLED,DISABLED
158746,"Toys & Hobbies|Preschool Toys & Pretend Play|Kitchens",1,ENABLED,DISABLED,DISABLED
